"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/08/2020";"0000";"17,1";"17,7";"16,9";"71,0";"72,0";"69,0";"11,7";"12,1";"11,7";"1028,0";"1028,0";"1027,8";"1,9";"309,0";"3,8";"";"0,0"
"01/08/2020";"0100";"16,0";"17,1";"15,9";"76,0";"76,0";"70,0";"11,6";"11,7";"11,5";"1027,8";"1028,0";"1027,8";"1,2";"305,0";"3,7";"";"0,0"
"01/08/2020";"0200";"15,2";"16,1";"15,2";"81,0";"81,0";"75,0";"11,9";"12,0";"11,6";"1028,1";"1028,1";"1027,8";"1,9";"288,0";"3,9";"";"0,0"
"01/08/2020";"0300";"16,0";"16,1";"15,0";"77,0";"82,0";"77,0";"11,9";"12,3";"11,8";"1027,5";"1028,2";"1027,5";"1,5";"307,0";"5,0";"";"0,0"
"01/08/2020";"0400";"13,7";"15,9";"13,7";"86,0";"86,0";"77,0";"11,3";"11,9";"11,0";"1027,2";"1027,5";"1027,2";"0,7";"269,0";"2,9";"";"0,0"
"01/08/2020";"0500";"12,8";"14,2";"12,8";"88,0";"89,0";"85,0";"10,9";"11,8";"10,8";"1027,2";"1027,2";"1027,0";"0,7";"354,0";"1,8";"";"0,0"
"01/08/2020";"0600";"13,0";"13,3";"12,6";"89,0";"90,0";"88,0";"11,3";"11,7";"10,8";"1026,8";"1027,2";"1026,6";"0,7";"359,0";"1,7";"";"0,0"
"01/08/2020";"0700";"12,9";"13,6";"12,4";"89,0";"91,0";"89,0";"11,1";"12,0";"10,7";"1026,1";"1026,9";"1026,1";"0,4";"2,0";"1,9";"";"0,0"
"01/08/2020";"0800";"14,5";"14,6";"12,9";"83,0";"90,0";"83,0";"11,8";"12,3";"11,1";"1026,6";"1026,8";"1026,1";"1,1";"326,0";"2,8";"";"0,0"
"01/08/2020";"0900";"15,0";"15,6";"14,3";"80,0";"84,0";"78,0";"11,7";"12,1";"11,4";"1026,4";"1026,7";"1026,3";"1,4";"352,0";"3,8";"";"0,0"
"01/08/2020";"1000";"13,1";"15,0";"13,1";"87,0";"87,0";"80,0";"11,0";"12,0";"10,9";"1026,2";"1026,4";"1026,2";"0,5";"328,0";"2,8";"";"0,0"
"01/08/2020";"1100";"16,3";"16,3";"12,9";"77,0";"89,0";"77,0";"12,3";"12,6";"11,0";"1026,3";"1026,5";"1026,2";"2,0";"308,0";"3,9";"156,40";"0,0"
"01/08/2020";"1200";"18,8";"19,0";"16,3";"67,0";"77,0";"66,0";"12,5";"13,2";"12,1";"1026,8";"1026,8";"1026,3";"1,4";"301,0";"3,9";"665,80";"0,0"
"01/08/2020";"1300";"20,2";"20,3";"18,8";"62,0";"67,0";"61,0";"12,8";"13,1";"12,2";"1027,0";"1027,1";"1026,8";"1,4";"25,0";"3,6";"1460,40";"0,0"
"01/08/2020";"1400";"21,6";"21,6";"20,2";"58,0";"63,0";"58,0";"13,1";"13,3";"12,5";"1026,3";"1027,0";"1026,3";"1,8";"16,0";"4,4";"1992,80";"0,0"
"01/08/2020";"1500";"22,4";"22,8";"21,3";"53,0";"59,0";"52,0";"12,5";"13,6";"12,1";"1025,2";"1026,3";"1025,2";"2,4";"354,0";"5,5";"2221,10";"0,0"
"01/08/2020";"1600";"23,5";"23,8";"22,4";"50,0";"54,0";"50,0";"12,6";"13,2";"12,3";"1024,1";"1025,2";"1024,1";"2,5";"31,0";"5,3";"2447,50";"0,0"
"01/08/2020";"1700";"22,5";"23,6";"22,4";"56,0";"57,0";"50,0";"13,4";"14,0";"12,4";"1023,5";"1024,1";"1023,5";"2,7";"29,0";"6,6";"2334,30";"0,0"
"01/08/2020";"1800";"22,5";"23,2";"22,5";"56,0";"58,0";"55,0";"13,4";"14,0";"13,3";"1022,9";"1023,5";"1022,9";"2,8";"25,0";"7,3";"1980,20";"0,0"
"01/08/2020";"1900";"21,6";"22,6";"21,6";"62,0";"62,0";"56,0";"14,1";"14,1";"13,3";"1022,8";"1022,9";"1022,7";"2,4";"19,0";"7,7";"1441,80";"0,0"
"01/08/2020";"2000";"20,6";"21,7";"20,6";"68,0";"68,0";"62,0";"14,4";"14,4";"13,9";"1023,0";"1023,0";"1022,6";"2,1";"30,0";"7,9";"490,20";"0,0"
"01/08/2020";"2100";"19,1";"20,6";"19,1";"76,0";"76,0";"68,0";"14,7";"14,7";"14,3";"1023,3";"1023,3";"1023,0";"1,8";"18,0";"6,7";"66,20";"0,0"
"01/08/2020";"2200";"18,5";"19,1";"18,5";"80,0";"80,0";"76,0";"15,0";"15,0";"14,7";"1023,8";"1023,8";"1023,3";"1,4";"19,0";"5,3";"";"0,0"
"01/08/2020";"2300";"18,3";"18,6";"18,2";"83,0";"83,0";"80,0";"15,2";"15,3";"15,0";"1024,4";"1024,4";"1023,8";"1,2";"3,0";"4,7";"";"0,0"
"02/08/2020";"0000";"16,9";"18,3";"16,8";"88,0";"88,0";"83,0";"14,9";"15,5";"14,7";"1025,0";"1025,0";"1024,4";"1,1";"286,0";"4,3";"";"0,0"
"02/08/2020";"0100";"15,3";"16,9";"15,3";"90,0";"90,0";"88,0";"13,6";"14,9";"13,6";"1025,1";"1025,2";"1025,0";"0,4";"302,0";"1,8";"";"0,0"
"02/08/2020";"0200";"15,0";"15,5";"14,8";"91,0";"92,0";"90,0";"13,6";"13,9";"13,4";"1025,2";"1025,3";"1024,9";"0,8";"311,0";"1,2";"";"0,0"
"02/08/2020";"0300";"14,6";"15,0";"14,2";"92,0";"92,0";"91,0";"13,4";"13,6";"12,9";"1025,1";"1025,2";"1025,1";"0,4";"329,0";"1,2";"";"0,0"
"02/08/2020";"0400";"14,1";"14,9";"13,7";"92,0";"93,0";"92,0";"12,9";"13,7";"12,4";"1025,1";"1025,2";"1025,1";"0,2";"282,0";"1,4";"";"0,0"
"02/08/2020";"0500";"13,3";"14,1";"13,3";"93,0";"93,0";"92,0";"12,1";"12,9";"12,1";"1025,1";"1025,1";"1025,0";"0,2";"258,0";"1,4";"";"0,0"
"02/08/2020";"0600";"13,3";"14,1";"13,3";"93,0";"93,0";"93,0";"12,2";"13,0";"12,2";"1024,9";"1025,1";"1024,8";"0,0";"313,0";"1,4";"";"0,0"
"02/08/2020";"0700";"13,2";"13,9";"13,1";"93,0";"93,0";"93,0";"12,1";"12,8";"12,0";"1024,8";"1025,0";"1024,8";"0,1";"334,0";"1,7";"";"0,0"
"02/08/2020";"0800";"13,0";"13,5";"13,0";"93,0";"94,0";"93,0";"11,9";"12,5";"11,9";"1024,6";"1024,8";"1024,4";"0,3";"286,0";"1,5";"";"0,0"
"02/08/2020";"0900";"12,6";"13,7";"12,6";"93,0";"94,0";"93,0";"11,5";"12,7";"11,5";"1025,0";"1025,1";"1024,6";"0,3";"329,0";"1,5";"";"0,0"
"02/08/2020";"1000";"12,8";"13,1";"12,3";"94,0";"94,0";"93,0";"11,9";"12,1";"11,3";"1025,6";"1025,6";"1025,0";"0,4";"281,0";"1,3";"";"0,0"
"02/08/2020";"1100";"14,2";"14,3";"12,6";"94,0";"94,0";"94,0";"13,3";"13,3";"11,6";"1025,9";"1025,9";"1025,6";"0,3";"328,0";"1,4";"126,00";"0,0"
"02/08/2020";"1200";"17,5";"17,5";"14,2";"85,0";"94,0";"85,0";"15,0";"15,2";"13,3";"1026,3";"1026,3";"1025,9";"0,9";"18,0";"3,3";"714,40";"0,0"
"02/08/2020";"1300";"19,5";"19,6";"17,5";"70,0";"85,0";"70,0";"13,9";"15,0";"13,9";"1026,7";"1026,8";"1026,3";"2,0";"358,0";"4,6";"1514,00";"0,0"
"02/08/2020";"1400";"21,6";"21,7";"19,5";"63,0";"71,0";"63,0";"14,3";"14,6";"13,7";"1026,4";"1026,7";"1026,4";"2,1";"3,0";"5,1";"2052,10";"0,0"
"02/08/2020";"1500";"21,6";"22,5";"21,3";"64,0";"65,0";"60,0";"14,6";"14,8";"13,9";"1026,0";"1026,4";"1026,0";"2,4";"18,0";"5,9";"2390,50";"0,0"
"02/08/2020";"1600";"23,5";"23,7";"21,6";"59,0";"65,0";"57,0";"15,2";"15,3";"14,1";"1025,3";"1026,0";"1025,3";"2,3";"3,0";"5,9";"2481,20";"0,0"
"02/08/2020";"1700";"23,2";"23,7";"23,0";"61,0";"61,0";"58,0";"15,3";"15,6";"14,8";"1024,7";"1025,3";"1024,7";"2,5";"24,0";"6,1";"2361,70";"0,0"
"02/08/2020";"1800";"23,7";"23,8";"23,2";"55,0";"62,0";"55,0";"14,1";"15,7";"14,0";"1024,2";"1024,7";"1024,2";"2,9";"26,0";"7,3";"2005,80";"0,0"
"02/08/2020";"1900";"22,6";"24,0";"22,6";"61,0";"61,0";"54,0";"14,7";"14,7";"13,9";"1024,3";"1024,4";"1024,2";"2,7";"360,0";"7,3";"1477,90";"0,0"
"02/08/2020";"2000";"20,6";"22,6";"20,6";"70,0";"70,0";"60,0";"15,1";"15,1";"14,1";"1024,8";"1024,8";"1024,3";"2,6";"8,0";"6,0";"513,10";"0,0"
"02/08/2020";"2100";"18,8";"20,6";"18,8";"81,0";"81,0";"71,0";"15,5";"15,5";"15,0";"1025,2";"1025,2";"1024,8";"2,3";"7,0";"6,5";"70,20";"0,0"
"02/08/2020";"2200";"18,5";"18,8";"18,5";"84,0";"85,0";"81,0";"15,9";"15,9";"15,5";"1025,9";"1025,9";"1025,2";"1,5";"9,0";"5,8";"";"0,0"
"02/08/2020";"2300";"18,4";"18,6";"18,4";"84,0";"85,0";"84,0";"15,7";"15,9";"15,7";"1026,1";"1026,2";"1025,9";"2,2";"353,0";"4,8";"";"0,0"
"03/08/2020";"0000";"18,4";"18,5";"18,3";"82,0";"85,0";"82,0";"15,2";"15,8";"15,2";"1026,3";"1026,3";"1026,1";"2,5";"348,0";"4,6";"";"0,0"
"03/08/2020";"0100";"18,1";"18,4";"18,1";"82,0";"83,0";"81,0";"15,0";"15,2";"15,0";"1026,2";"1026,3";"1026,2";"2,1";"355,0";"5,0";"";"0,0"
"03/08/2020";"0200";"17,9";"18,1";"17,9";"84,0";"84,0";"82,0";"15,2";"15,2";"14,9";"1026,4";"1026,4";"1026,1";"2,3";"343,0";"6,5";"";"0,0"
"03/08/2020";"0300";"17,3";"18,0";"17,3";"85,0";"85,0";"84,0";"14,7";"15,3";"14,7";"1026,4";"1026,5";"1026,3";"1,9";"340,0";"6,4";"";"0,0"
"03/08/2020";"0400";"16,5";"17,4";"16,5";"87,0";"87,0";"84,0";"14,3";"15,0";"14,1";"1026,5";"1026,5";"1026,3";"0,8";"311,0";"5,1";"";"0,0"
"03/08/2020";"0500";"15,4";"16,6";"15,2";"90,0";"90,0";"86,0";"13,8";"14,3";"13,4";"1026,1";"1026,5";"1026,1";"0,8";"287,0";"3,0";"";"0,0"
"03/08/2020";"0600";"14,5";"15,6";"14,5";"90,0";"91,0";"90,0";"12,9";"14,0";"12,9";"1025,8";"1026,1";"1025,8";"0,0";"298,0";"1,9";"";"0,0"
"03/08/2020";"0700";"14,5";"15,0";"14,4";"92,0";"92,0";"90,0";"13,1";"13,7";"12,9";"1025,7";"1025,9";"1025,7";"0,0";"305,0";"0,0";"";"0,0"
"03/08/2020";"0800";"13,2";"14,5";"13,2";"92,0";"92,0";"91,0";"12,0";"13,0";"12,0";"1025,7";"1025,7";"1025,6";"0,0";"314,0";"0,0";"";"0,0"
"03/08/2020";"0900";"13,5";"13,9";"13,2";"93,0";"93,0";"92,0";"12,3";"12,8";"12,0";"1026,2";"1026,2";"1025,7";"0,0";"330,0";"0,0";"";"0,0"
"03/08/2020";"1000";"13,0";"13,5";"12,9";"93,0";"93,0";"93,0";"11,9";"12,2";"11,8";"1026,8";"1026,8";"1026,2";"0,0";"106,0";"0,0";"";"0,2"
"03/08/2020";"1100";"14,7";"14,7";"12,9";"94,0";"94,0";"93,0";"13,7";"13,7";"11,8";"1027,5";"1027,5";"1026,8";"0,0";"298,0";"0,0";"155,10";"0,0"
